Start (s),End (s),Scientific name,Common name,Confidence,File,lat,lon,week,min_conf
6.0,9.0,Chondestes grammacus,Lark Sparrow,0.0004,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Passerina amoena,Lazuli Bunting,0.0004,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Piranga ludoviciana,Western Tanager,0.0003,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Cyanocitta stelleri,Steller's Jay,0.0002,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Turdus migratorius,American Robin,0.0002,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Melospiza melodia,Song Sparrow,0.0002,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Melozone crissalis,California Towhee,0.0002,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Oreortyx pictus,Mountain Quail,0.0002,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0002,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Setophaga nigrescens,Black-throated Gray Warbler,0.0001,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Spinus lawrencei,Lawrence's Goldfinch,0.0001,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Icteria virens,Yellow-breasted Chat,0.0001,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Tachycineta thalassina,Violet-green Swallow,0.0001,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Cardellina pusilla,Wilson's Warbler,0.0001,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
6.0,9.0,Catharus ustulatus,Swainson's Thrush,0.0001,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Bubo virginianus,Great Horned Owl,0.0033,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Buteo jamaicensis,Red-tailed Hawk,0.0027,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Junco hyemalis,Dark-eyed Junco,0.0022,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Catharus ustulatus,Swainson's Thrush,0.0021,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Buteo lineatus,Red-shouldered Hawk,0.0020,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Megaceryle alcyon,Belted Kingfisher,0.0020,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Meleagris gallopavo,Wild Turkey,0.0020,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Leiothlypis celata,Orange-crowned Warbler,0.0018,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Certhia americana,Brown Creeper,0.0017,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Sitta canadensis,Red-breasted Nuthatch,0.0016,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Zonotrichia leucophrys,White-crowned Sparrow,0.0015,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Cyanocitta stelleri,Steller's Jay,0.0015,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Contopus cooperi,Olive-sided Flycatcher,0.0015,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Spizella passerina,Chipping Sparrow,0.0015,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Pandion haliaetus,Osprey,0.0015,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Haemorhous mexicanus,House Finch,0.0015,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Setophaga coronata,Yellow-rumped Warbler,0.0015,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Dryobates pubescens,Downy Woodpecker,0.0015,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Corvus corax,Common Raven,0.0014,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
9.0,10.0,Melospiza melodia,Song Sparrow,0.0014,Filtered_With_Harmonics\Normalized_Audio\Spotted Towhee.wav,34.0522,-118.2437,27,0.01
