branch,experiment,file,expected,analysis_windows,target_detected,target_detection_windows,target_detection_rate,target_max_confidence,target_mean_confidence_all_windows,target_best_rank,top1_window_rate,top3_window_rate,top5_window_rate,target_best_margin,target_mean_margin,strongest_competitor_max_confidence
without_harmonics,E1_no_metadata,Bewick's Wren.wav,Bewick's Wren,4,True,1,0.25,0.9031,0.225775,1.0,0.25,0.25,0.25,0.485,0.11627500000000002,0.4181
without_harmonics,E1_no_metadata,Black Phoebe.wav,Black Phoebe,4,True,4,1.0,0.9968,0.9932,1.0,1.0,1.0,1.0,0.9916,0.9830000000000001,0.0148
without_harmonics,E1_no_metadata,California Towhee.wav,California Towhee,4,True,2,0.5,0.9778,0.486875,1.0,0.5,0.5,0.5,0.9654,0.46292500000000003,0.0779
without_harmonics,E1_no_metadata,Hooded Oriole.wav,Hooded Oriole,4,True,4,1.0,0.9995,0.8353999999999999,1.0,0.75,1.0,1.0,0.8019000000000001,0.421675,0.5979
without_harmonics,E1_no_metadata,House Finch.wav,House Finch,4,True,3,0.75,0.1601,0.05885,1.0,0.25,0.5,0.5,0.0392,-0.014475,0.1209
without_harmonics,E1_no_metadata,House Sparrow.wav,House Sparrow,4,True,4,1.0,0.6594,0.44735,1.0,0.5,1.0,1.0,0.2056,-0.011325000000000016,0.6497
without_harmonics,E1_no_metadata,Lesser Goldfinch.wav,Lesser Goldfinch,4,True,4,1.0,0.5148,0.200175,1.0,0.25,0.75,0.75,0.46880000000000005,-0.143725,0.7082
without_harmonics,E1_no_metadata,Northern House Wren.wav,Northern House Wren,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0068,-0.572975,0.9908
without_harmonics,E1_no_metadata,Northern Mockingbird.wav,Northern Mockingbird,4,True,3,0.75,0.0318,0.012025000000000001,3.0,0.0,0.25,0.25,-0.10439999999999999,-0.344025,0.7175
without_harmonics,E1_no_metadata,Northern Yellow Warbler.wav,Northern Yellow Warbler,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0068,-0.28557499999999997,0.9434
without_harmonics,E1_no_metadata,Oak Titmouse.wav,Oak Titmouse,4,True,4,1.0,0.9988,0.893675,1.0,0.75,1.0,1.0,0.9794,0.641875,0.8901
without_harmonics,E1_no_metadata,Song Sparrow.wav,Song Sparrow,4,True,1,0.25,0.8093,0.202325,1.0,0.25,0.25,0.25,0.7036,0.17104999999999998,0.1057
without_harmonics,E1_no_metadata,Spotted Towhee.wav,Spotted Towhee,4,True,2,0.5,0.97,0.47719999999999996,1.0,0.5,0.5,0.5,0.2005,0.08372500000000001,0.7908
without_harmonics,E2_week_only,American Robin.wav,American Robin,4,True,4,1.0,0.981,0.884225,1.0,1.0,1.0,1.0,0.9320999999999999,0.7627999999999999,0.2986
without_harmonics,E2_week_only,Anna's Hummingbird.wav,Anna's Hummingbird,4,True,4,1.0,0.9963,0.9940249999999999,1.0,1.0,1.0,1.0,0.9863000000000001,0.9359,0.1583
without_harmonics,E2_week_only,Barn Sparrow.wav,Barn Sparrow,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.1329,-0.780625,0.9997
without_harmonics,E2_week_only,Bewick's Wren.wav,Bewick's Wren,4,True,1,0.25,0.9031,0.225775,1.0,0.25,0.25,0.25,0.485,0.11627500000000002,0.4181
without_harmonics,E2_week_only,Black Phoebe.wav,Black Phoebe,4,True,4,1.0,0.9968,0.9932,1.0,1.0,1.0,1.0,0.9916,0.9830000000000001,0.0148
without_harmonics,E2_week_only,California Towhee.wav,California Towhee,4,True,2,0.5,0.9778,0.486875,1.0,0.5,0.5,0.5,0.9654,0.46292500000000003,0.0779
without_harmonics,E2_week_only,Hooded Oriole.wav,Hooded Oriole,4,True,4,1.0,0.9995,0.8353999999999999,1.0,0.75,1.0,1.0,0.8019000000000001,0.421675,0.5979
without_harmonics,E2_week_only,House Finch.wav,House Finch,4,True,3,0.75,0.1601,0.05885,1.0,0.25,0.5,0.5,0.0392,-0.014475,0.1209
without_harmonics,E2_week_only,House Sparrow.wav,House Sparrow,4,True,4,1.0,0.6594,0.44735,1.0,0.5,1.0,1.0,0.2056,-0.011325000000000016,0.6497
without_harmonics,E2_week_only,Lesser Goldfinch.wav,Lesser Goldfinch,4,True,4,1.0,0.5148,0.200175,1.0,0.25,0.75,0.75,0.46880000000000005,-0.143725,0.7082
without_harmonics,E2_week_only,Northern House Wren.wav,Northern House Wren,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0068,-0.572975,0.9908
without_harmonics,E2_week_only,Northern Mockingbird.wav,Northern Mockingbird,4,True,3,0.75,0.0318,0.012025000000000001,3.0,0.0,0.25,0.25,-0.10439999999999999,-0.344025,0.7175
without_harmonics,E2_week_only,Northern Yellow Warbler.wav,Northern Yellow Warbler,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0068,-0.28557499999999997,0.9434
without_harmonics,E2_week_only,Oak Titmouse.wav,Oak Titmouse,4,True,4,1.0,0.9988,0.893675,1.0,0.75,1.0,1.0,0.9794,0.641875,0.8901
without_harmonics,E2_week_only,Song Sparrow.wav,Song Sparrow,4,True,1,0.25,0.8093,0.202325,1.0,0.25,0.25,0.25,0.7036,0.17104999999999998,0.1057
without_harmonics,E2_week_only,Spotted Towhee.wav,Spotted Towhee,4,True,2,0.5,0.97,0.47719999999999996,1.0,0.5,0.5,0.5,0.2005,0.08372500000000001,0.7908
without_harmonics,E3_location_only,American Robin.wav,American Robin,4,True,4,1.0,0.981,0.884225,1.0,1.0,1.0,1.0,0.9757,0.7928999999999999,0.2986
without_harmonics,E3_location_only,Anna's Hummingbird.wav,Anna's Hummingbird,4,True,4,1.0,0.9963,0.9940249999999999,1.0,1.0,1.0,1.0,0.992,0.976175,0.034
without_harmonics,E3_location_only,Barn Sparrow.wav,Barn Sparrow,4,False,0,0.0,0.0,0.0,,0.0,0.0,0.0,-0.0019,-0.7478750000000001,0.9997
without_harmonics,E3_location_only,Bewick's Wren.wav,Bewick's Wren,4,True,1,0.25,0.9031,0.225775,1.0,0.25,0.25,0.25,0.485,0.11887499999999998,0.4181
without_harmonics,E3_location_only,Black Phoebe.wav,Black Phoebe,4,True,4,1.0,0.9968,0.9932,1.0,1.0,1.0,1.0,0.9916,0.9830000000000001,0.0148
without_harmonics,E3_location_only,California Towhee.wav,California Towhee,4,True,2,0.5,0.9778,0.486875,1.0,0.5,0.5,0.5,0.9654,0.464675,0.0779
without_harmonics,E3_location_only,Hooded Oriole.wav,Hooded Oriole,4,True,4,1.0,0.9995,0.8353999999999999,1.0,0.75,1.0,1.0,0.9977,0.68265,0.5979
without_harmonics,E3_location_only,House Finch.wav,House Finch,4,True,4,1.0,0.1601,0.059225,1.0,0.75,0.75,0.75,0.15639999999999998,0.049725,0.0269
without_harmonics,E3_location_only,House Sparrow.wav,House Sparrow,4,True,4,1.0,0.6594,0.44735,1.0,1.0,1.0,1.0,0.6533,0.44162500000000005,0.0088
